category,fact
Science,"Water is the only substance that exists as a solid, liquid, and gas on Earth."
Space,Venus is the hottest planet in our solar system.
History,The Great Wall of China is not visible from space with the naked eye.
Biology,Humans and bananas share about 60% of the same DNA.
Technology,The first email was sent by Ray Tomlinson to himself in 1971.
Geography,Russia is the largest country in the world by area.
Mathematics,A googol is the number 1 followed by 100 zeros.
Literature,The 'Harry Potter' books are the best-selling book series in history.
Sports,"The Olympic Games were originally held in Olympia, Greece."
Music,The Beatles hold the record for the most number-one hits on the Hot 100 chart.
Animals,Octopuses have three hearts and blue blood.
Cinema,The first color film was made in 1902.
Food,Honey is the only food that does not spoil.
Art,The Mona Lisa has no eyebrows.
Economics,"Bitcoin was the first decentralized cryptocurrency, created in 2009."
Physics,Light from the Sun takes approximately 8 minutes and 20 seconds to reach Earth.
Chemistry,"Diamond and graphite are both made of carbon, but have different atomic structures."
Medical,Penicillin was the first antibiotic discovered.
Environmental,More than 70% of Earth's surface is covered by water.
Psychology,The 'placebo effect' shows how the brain can affect physical health.
Linguistics,"There are about 7,000 languages spoken in the world today."
Astronomy,A day on Venus is longer than a year on Venus.
Entertainment,Walt Disney holds the record for the most Oscars won by an individual.
Political Science,"The shortest war in history was between Britain and Zanzibar on August 27, 1896."
Sociology,"Facebook is the largest social network, with over 2 billion active users."
Philosophy,Plato was a student of Socrates and the teacher of Aristotle.
Fashion,The modern bikini was invented by Louis Réard in 1946.
Architecture,The Burj Khalifa in Dubai is the tallest building in the world.
Travel,Bangkok is the most visited city in the world.
Gaming,The best-selling video game of all time is Minecraft.
Science,"The human body contains around 37.2 trillion cells."
Space,"Neptune winds are the fastest in the solar system, reaching speeds of 2,100 km/h."
History,"Julius Caesar was assassinated on the Ides of March, March 15, 44 BC."
Biology,"The axolotl can regenerate its limbs, heart, and even parts of its brain."
Technology,"The World Wide Web was invented by Tim Berners-Lee in 1989."
Geography,"The Amazon River discharges 5 times as much water as the Nile, the world's longest river."
Mathematics,"Zero was first used in India as a number and concept."
Literature,"'Don Quixote' by Miguel de Cervantes is considered the first modern novel."
Sports,"Michael Phelps is the most decorated Olympian of all time, with 28 medals."
Music,"Ludwig van Beethoven composed his most celebrated works after he became deaf."
Animals,"The blue whale is the largest animal ever known to have existed."
Cinema,"The first feature-length animated film is Disney's 'Snow White and the Seven Dwarfs'."
Food,"Saffron is the most expensive spice in the world by weight."
Art,"Vincent van Gogh sold only one painting during his lifetime."
Economics,"The Great Depression started in 1929 and was the worst economic downturn in the history of the industrialized world."
Physics,"Absolute zero, the lowest possible temperature, is -273.15°C."
Chemistry,"Oxygen is the most abundant element in the Earth's crust."
Medical,"The human brain contains approximately 86 billion neurons."
Environmental,"The Amazon Rainforest is often referred to as the 'lungs of the Earth'."
Psychology,"Dreams are believed to play a role in memory, problem-solving, and emotional processing."
Linguistics,"The Rosetta Stone was key to deciphering Egyptian hieroglyphs."
Astronomy,"A 'supermoon' appears larger and brighter because it's closer to Earth than usual."
Entertainment,"The first Academy Awards ceremony was held in 1929."
Political Science,"The concept of democracy is credited to the ancient Greeks."
Sociology,"The term 'society' derives from the Latin word 'societas', which means 'companionship'."
Philosophy,"'Cogito, ergo sum' (I think, therefore I am) is a philosophical statement by René Descartes."
Fashion,"The little black dress was popularized by Coco Chanel."
Architecture,"The Leaning Tower of Pisa's tilt was caused by an inadequate foundation on ground too soft."
Travel,"The Trans-Siberian Railway is the longest railway line in the world, spanning over 9,289 kilometers."
Gaming,"Tetris was created by Russian game designer Alexey Pajitnov in 1984."
Science,"The speed of light in a vacuum is exactly 299,792,458 meters per second."
Space,"Jupiter has the most moons of any planet in our solar system, with 79 confirmed."
History,"The Code of Hammurabi is one of the oldest deciphered writings of significant length in the world."
Biology,"The cheetah is the fastest land animal, capable of running up to 75 mph (120 km/h) in short bursts covering distances up to 1,500 ft (460 m)."
Technology,"The first programmable computer, the Z3, was invented by Konrad Zuse in 1941."
Geography,"Lake Baikal in Siberia is the world's deepest and oldest freshwater lake."
Mathematics,"Pi (π) is an irrational number, meaning it cannot be expressed exactly as a fraction."
Literature,"The Epic of Gilgamesh is among the earliest known works of literary writing."
Sports,"The New York Yankees have won 27 World Series titles, more than any other Major League Baseball team."
Music,"Mozart composed over 600 works during his short life of 35 years."
Animals,"Honeybees communicate through a dance known as the 'waggle dance' to share information about the location of food sources."
Cinema,"'Avatar', directed by James Cameron, is one of the highest-grossing films of all time."
Food,"The largest recorded pizza in the world was 1,261.65 square meters."
Art,"The Louvre in Paris is the world's largest art museum and a historic monument in France."
Economics,"Inflation is the rate at which the general level of prices for goods and services is rising."
Physics,"A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it."
Chemistry,"Water is a universal solvent because it dissolves more substances than any other liquid."
Medical,"Edward Jenner pioneered the smallpox vaccine in 1796, which led to the disease's eradication."
Environmental,"Coral reefs are some of the most biodiverse ecosystems on the planet, supporting thousands of marine species."
Psychology,"Maslow's hierarchy of needs is a theory in psychology proposed by Abraham Maslow in his 1943 paper 'A Theory of Human Motivation'."
Linguistics,"Papua New Guinea has the highest linguistic diversity in the world, with over 850 languages spoken."
Astronomy,"The Milky Way galaxy is estimated to contain 100-400 billion stars."
Entertainment,"The longest-running Broadway show is 'The Phantom of the Opera'."
Political Science,"Magna Carta, signed in 1215, is considered one of the first steps towards parliamentary democracy."
Sociology,"The concept of 'social identity' explains how people's understanding of who they are is based on their group membership."
Philosophy,"Existentialism is a philosophy that emphasizes individual freedom, choice, and responsibility."
Fashion,"The first fashion magazine was published in Germany in 1586."
Architecture,"The Eiffel Tower was originally intended to be dismantled after 20 years but was saved because it proved valuable for communication purposes."
Travel,"The island of Palau is known for its underwater wonderland, making it a popular spot for divers."
Gaming,"The original 'Doom' game, released in 1993, is considered one of the most significant and influential titles in video game history."
Science,"Photosynthesis in plants generally involves the green pigment chlorophyll and generates oxygen as a byproduct."
Space,"The rings of Saturn are made up of ice particles, rock debris, and dust."
History,"The first successful printing press was invented by Johannes Gutenberg in the 15th century."
Biology,"Koalas have fingerprints that are so similar to humans' that they can contaminate crime scenes."
Technology,"The QR code system was invented in Japan by the company Denso Wave in 1994 to track vehicles during manufacturing."
Geography,"Mount Everest grows about 4 mm higher every year due to tectonic movements."
Mathematics,"Fibonacci numbers are a sequence where each number is the sum of the two preceding ones, often associated with the 'golden ratio'."
Literature,"The longest novel ever written is 'In Search of Lost Time' by Marcel Proust."
Sports,"FIFA, the international governing body of football, was founded in Paris in 1904."
Music,"The world's largest grand piano was built by Adrian Mann, a New Zealander, and is over 18 feet long."
Animals,"The immortal jellyfish (Turritopsis dohrnii) can revert back to its juvenile form after reaching maturity."
Cinema,"'Gone with the Wind' (1939) holds the record for the highest inflation-adjusted box office gross."
Food,"Chocolate was once used as currency by the Aztecs."
Art,"Pablo Picasso is credited with the creation of Cubism, an early 20th-century avant-garde art movement."
Economics,"The term 'bull market' refers to a financial market of a group of securities in which prices are rising or are expected to rise."
Physics,"Quantum entanglement is a phenomenon where particles become interconnected and the state of one (speed, position, etc.) can depend on the state of another, even when separated by a large distance."
Chemistry,"The periodic table currently has 118 confirmed elements."
Medical,"The first human heart transplant was performed by Dr. Christiaan Barnard in South Africa in 1967."
Environmental,"Deforestation in the Amazon Rainforest is a major concern due to its impact on global climate change."
Psychology,"The Stanford prison experiment conducted in 1971 by Philip Zimbardo explored the psychological effects of perceived power."
Linguistics,"The 'Sapir-Whorf Hypothesis' suggests that the structure of a language affects its speakers' world view or cognition."
Astronomy,"The Andromeda Galaxy is the closest spiral galaxy to our Milky Way and is on a collision course with it."
Entertainment,"The first televised Oscars ceremony was in 1953."
Political Science,"The Treaty of Westphalia in 1648 ended the Thirty Years' War and is considered the beginning of the modern state system."
Sociology,"'McDonaldization' is a term used by sociologist George Ritzer to describe a societal shift towards efficiency, predictability, calculability, and control."
Philosophy,"'The Allegory of the Cave' is a theory put forward by Plato concerning human perception."
Fashion,"Ray-Ban created the iconic Aviator sunglasses for pilots in 1936."
Architecture,"Sydney Opera House's design was inspired by the sails of ships."
Travel,"The city of Timbuktu in Mali was a historical and intellectual center during the 15th and 16th centuries."
Gaming,"'League of Legends' has been one of the world's most played video games since its release in 2009, with tournaments watched by millions of fans."
