character,quote,episode
Julian,"I've met cats and dogs smarter than Trevor and Cory.","Season 1, Episode 4"
Ricky,"What comes around is all around.","Season 4, Episode 5"
Bubbles,"That's the way she goes, boys. Sometimes she goes, sometimes she doesn't cause that's the fucking way she goes.","Season 5, Episode 10"
Mr. Lahey,"Randy, I am the liquor.","Season 5, Episode 10"
Ricky,"I'm not the kind of person to say atodaso, but you know what? Atodaso. I fucking atodaso.","Season 6, Episode 6"
Julian,"It's not about the money, it's about the people.","Season 3, Episode 8"
Bubbles,"Does it really launch, or are you just fuckin' with me?","Season 4, Episode 3"
Mr. Lahey,"The shit-pool's getting full. We better strain it before it overflows and causes a shit-slide that could bury us all alive.","Season 5, Episode 3"
Ricky,"Worst case Ontario, we get arrested.","Season 6, Episode 2"
Bubbles,"Decent!","Various Episodes"
Julian,"Safety always off.","Season 7, Episode 10"
Mr. Lahey,"A shit leopard can't change its spots.","Season 5, Episode 10"
Ricky,"It's not rocket appliances.","Season 4, Episode 3"
Ricky,"If you love something, let it go. If it comes back to you, you own it. If it doesn't, you don't own it. And if it doesn't, you're an asshole, just like you.","Season 4, Episode 7"
Bubbles,"Kitties are so nice.","Season 8, Episode 5"
Julian,"You just gotta believe!","Season 2, Episode 6"
Mr. Lahey,"We're sailing into a shit typhoon, Randy, we'd better haul in the jib before it gets covered with shit.","Season 4, Episode 2"
Ricky,"Dad, you always told me that if I work hard, I can achieve anything. Well, I worked hard and I'm still a dumbass.","Season 7, Episode 10"
Bubbles,"When you plant shit seeds, you get shit weeds.","Season 5, Episode 10"
Julian,"Look, let's just drop all the weapons, smoke a joint and think about what we're doing here.","Season 3, Episode 5"
Mr. Lahey,"It's like I always say, Randy... when the shitballs start flying, you've got to get a shitbat.","Season 7, Episode 1"
Ricky,"Beauty is in the eye when you hold her.","Season 5, Episode 1"
Bubbles,"I mean, nobody wants to admit they ate nine cans of ravioli, but I did, and I'm ashamed of myself.","Season 4, Episode 3"
Julian,"Sometimes life is greasy, Bubbles.","Season 10, Episode 10"
Mr. Lahey,"Do you know what a shit barometer is, Bubs? Measures the shit pressure in the air. You can feel it! Listen, Bubs, hear that? The sounds of the whispering winds of shit.","Season 4, Episode 5"
Ricky,"Getting learnt with Ricky","Season 8, Episode 1"
Ricky,"Life is just a big bowl of fancy assorted cashews.","Season 8, Episode 5"
Bubbles,"It's not rocket surgery.","Season 6, Episode 1"
Julian,"Keep your friends close, but your enemies toaster.","Season 7, Episode 5"
Mr. Lahey,"The shit winds are coming.","Season 4, Episode 7"
Ricky,"I'm not asking you to do me a favor, Julian. I'm telling you, let me do you a favor.","Season 5, Episode 2"
Bubbles,"This is fucked.","Season 8, Episode 2"
Julian,"It's like my dad used to say, 'What's lost is lost.'","Season 3, Episode 2"
Mr. Lahey,"Randy, I thought we agreed no more shit talk until we're back in power.","Season 6, Episode 3"
